city,airline_sentiment,city_name
169,2,New York City
50,0,Chelsea
86,1,El Segundo
86,0,El Segundo
102,2,Frisco
68,1,Culver City
2,1,Aliso Viejo
246,0,Springfield Gardens
190,2,Paradise
226,1,San Francisco
71,0,Dania Beach
86,2,El Segundo
40,0,Calgary
246,1,Springfield Gardens
86,2,El Segundo
268,2,"Washington, D.C."
70,2,Dallas
70,0,Dallas
71,0,Dania Beach
70,2,Dallas
107,1,Gladstone
226,2,San Francisco
86,1,El Segundo
200,0,Port Richmond
216,1,Ronkonkoma
277,2,Westford
226,1,San Francisco
247,1,Summerlin South
263,0,Venustiano Carranza
34,2,Brighton
287,0,Wolverhampton
1,1,Aldine
1,0,Aldine
1,0,Aldine
1,0,Aldine
1,0,Aldine
1,0,Aldine
1,0,Aldine
133,0,Kenner
133,0,Kenner
133,0,Kenner
133,0,Kenner
133,0,Kenner
133,0,Kenner
133,0,Kenner
48,2,Cary
24,0,Birmingham
184,0,Orchards
220,2,Råsunda
174,0,North Charleston
21,1,Bensenville
112,1,Hale
21,0,Bensenville
226,1,San Francisco
21,0,Bensenville
51,0,Chicago
48,1,Cary
86,0,El Segundo
171,0,Niles
34,0,Brighton
179,2,Oak Hill
21,0,Bensenville
179,2,Oak Hill
87,0,Elizabeth
22,1,Bergeijk
71,0,Dania Beach
170,0,Newark
71,0,Dania Beach
170,0,Newark
286,0,Winter Park
170,0,Newark
34,0,Brighton
34,0,Brighton
187,0,Paderborn
18,0,Bellaire
87,0,Elizabeth
198,0,Polanco
18,0,Bellaire
21,0,Bensenville
100,0,Franklin Park
22,2,Bergeijk
100,0,Franklin Park
21,0,Bensenville
1,0,Aldine
201,0,Portland
100,0,Franklin Park
1,0,Aldine
21,0,Bensenville
31,1,Bozeman
21,0,Bensenville
82,0,East Point
170,1,Newark
161,0,Montrose
289,2,Xiuying
14,0,Aurora
190,0,Paradise
84,1,Egypt Lake-Leto
31,0,Bozeman
31,0,Bozeman
31,0,Bozeman
31,0,Bozeman
1,0,Aldine
114,1,Hampton Park
114,1,Hampton Park
86,0,El Segundo
1,0,Aldine
190,0,Paradise
51,2,Chicago
21,2,Bensenville
240,1,Skokie
22,2,Bergeijk
26,0,Boise
179,2,Oak Hill
26,2,Boise
34,0,Brighton
170,0,Newark
232,0,SeaTac
232,0,SeaTac
34,0,Brighton
41,1,Camberwell
34,0,Brighton
34,0,Brighton
34,0,Brighton
181,0,Oakland
1,0,Aldine
1,0,Aldine
21,0,Bensenville
21,2,Bensenville
36,2,Brownsville
104,0,Gahanna
104,0,Gahanna
179,0,Oak Hill
1,1,Aldine
1,0,Aldine
170,0,Newark
104,0,Gahanna
258,1,Tung Chung
158,0,Millbrae
86,0,El Segundo
212,0,Rock Hill
